tema;subtema;qtde;facil;media;dificil;tipo_principal;tipo_secundario;referencia_oficial;link_fonte;observacao_editorial;status_lote;responsavel;fonte_exata;revisado;publicado
PLACAS;Hierarquia da sinalizacao e prevalencia entre sinais;5;2;2;1;direta;situacional;Portaria 923/2025 > Sinalizacao viaria + Manuais de Sinalizacao;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Testar ordem de prevalencia e leitura correta do contexto;;;;;
PLACAS;Placas de regulamentacao: identificacao e sentido pratico;7;3;3;1;com_imagem;direta;Manual Vol. I - Regulamentacao;https://www.gov.br/transportes/pt-br/assuntos/transito/senatran/manuais-brasileiros-de-sinalizacao-de-transito;Usar arte propria da placa e foco no efeito da regra;;;;;
PLACAS;Placas de regulamentacao: proibicao obrigacao e restricao;6;2;3;1;com_imagem;erro_comum;Manual Vol. I - Regulamentacao;https://www.gov.br/transportes/pt-br/assuntos/transito/senatran/manuais-brasileiros-de-sinalizacao-de-transito;Explorar confusoes comuns entre proibido e obrigatorio;;;;;
PLACAS;Placas de advertencia: risco e prevencao;8;3;3;2;com_imagem;situacional;Manual Vol. II - Advertencia;https://www.gov.br/transportes/pt-br/assuntos/transito/senatran/manuais-brasileiros-de-sinalizacao-de-transito;Criar cenarios de leitura antecipada do risco;;;;;
PLACAS;Placas de advertencia: interpretacao em contexto;6;2;3;1;situacional;com_imagem;Manual Vol. II - Advertencia;https://www.gov.br/transportes/pt-br/assuntos/transito/senatran/manuais-brasileiros-de-sinalizacao-de-transito;Usar situacoes de curva aclive pedestre e escola;;;;;
PLACAS;Placas de indicacao: orientacao servicos e apoio;6;3;2;1;com_imagem;direta;Manual Vol. III - Indicacao;https://www.gov.br/transportes/pt-br/assuntos/transito/senatran/manuais-brasileiros-de-sinalizacao-de-transito;Priorizar funcao pratica da placa;;;;;
PLACAS;Placas de indicacao: localizacao destino e informacao;4;2;1;1;com_imagem;direta;Manual Vol. III - Indicacao;https://www.gov.br/transportes/pt-br/assuntos/transito/senatran/manuais-brasileiros-de-sinalizacao-de-transito;Evitar memorizacao irrelevante;;;;;
PLACAS;Sinalizacao horizontal: marcas longitudinais e transversais;6;2;3;1;com_imagem;situacional;Manual Vol. IV - Horizontal;https://www.gov.br/transportes/pt-br/assuntos/transito/senatran/manuais-brasileiros-de-sinalizacao-de-transito;Usar desenhos simples proprios da via;;;;;
PLACAS;Sinalizacao horizontal: faixa de pedestre retencao e canalizacao;3;1;1;1;com_imagem;direta;Manual Vol. IV - Horizontal;https://www.gov.br/transportes/pt-br/assuntos/transito/senatran/manuais-brasileiros-de-sinalizacao-de-transito;Boa area para questoes com figura;;;;;
PLACAS;Sinalizacao semaforica para veiculos e pedestres;5;2;2;1;situacional;direta;Manual Vol. V - Semaforica;https://www.gov.br/transportes/pt-br/assuntos/transito/senatran/manuais-brasileiros-de-sinalizacao-de-transito;Priorizar interpretacao pratica e seguranca;;;;;
PLACAS;Dispositivos auxiliares e sinalizacao temporaria;6;2;3;1;com_imagem;situacional;Manual Vol. VI e VII;https://www.gov.br/transportes/pt-br/assuntos/transito/senatran/manuais-brasileiros-de-sinalizacao-de-transito;Usar cones tachas obras e bloqueios;;;;;
PLACAS;Sinalizacao cicloviaria e cruzamentos rodoferroviarios;3;1;2;0;direta;com_imagem;Manual Vol. VIII e IX;https://www.gov.br/transportes/pt-br/assuntos/transito/senatran/manuais-brasileiros-de-sinalizacao-de-transito;Bloco pequeno objetivo e funcional;;;;;
LEGISLACAO;Processo de habilitacao documentos de porte obrigatorio e deveres do condutor;10;4;4;2;direta;erro_comum;Portaria 923/2025 + Resolucao 1.020/2025;https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-Senatran/resolucoes-contran;Misturar regras de CNH CRLV-e e responsabilidades;;;;;
LEGISLACAO;Categorias de habilitacao e tipos de veiculo;5;2;2;1;direta;erro_comum;Resolucao 1.020/2025;https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/Resolucao10202025.pdf;Questoes curtas e sem juridiques;;;;;
LEGISLACAO;Classificacao das vias e regras basicas associadas;5;2;2;1;direta;situacional;Portaria 923/2025;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Ligar tipo de via a conduta adequada;;;;;
LEGISLACAO;Normas gerais de circulacao e conduta;10;4;4;2;situacional;direta;Portaria 923/2025 > Normas de circulacao e conduta;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Usar cenarios realistas de trafego;;;;;
LEGISLACAO;Conversoes retorno mudanca de faixa e posicionamento;10;4;4;2;situacional;erro_comum;Portaria 923/2025 > Normas de circulacao e conduta;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Bloco muito importante para prova;;;;;
LEGISLACAO;Parada e estacionamento;8;3;4;1;direta;situacional;CTB + Portaria 923/2025;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Usar casos de proibicao e excecao;;;;;
LEGISLACAO;Preferencia de passagem cruzamentos e ultrapassagem;12;4;5;3;situacional;erro_comum;CTB + Portaria 923/2025;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Uma das areas que mais geram confusao;;;;;
LEGISLACAO;Infracoes de transito e sistema de pontuacao;10;3;5;2;direta;erro_comum;Portaria 923/2025 > Infracoes de transito;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Foco em classificacao e consequencia;;;;;
LEGISLACAO;Penalidades e medidas administrativas;8;3;4;1;direta;situacional;CTB + Portaria 923/2025;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Distinguir penalidade de medida administrativa;;;;;
LEGISLACAO;Crimes de transito responsabilidade e recursos;7;2;4;1;direta;situacional;CTB + Portaria 923/2025;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Manter linguagem simples e objetiva;;;;;
DIRECAO_DEFENSIVA;Percepcao de risco e prevencao de sinistros;10;4;4;2;situacional;direta;Portaria 923/2025 > Direcao defensiva;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Evitar teoria vaga e focar em decisao segura;;;;;
DIRECAO_DEFENSIVA;Distancia de seguranca frenagem e controle de velocidade;12;4;5;3;situacional;erro_comum;Portaria 923/2025 > Direcao defensiva;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Otimo para cenarios praticos;;;;;
DIRECAO_DEFENSIVA;Condicoes adversas de clima e visibilidade;10;4;4;2;situacional;direta;Portaria 923/2025 > Direcao defensiva;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Chuva neblina noite e pista molhada;;;;;
DIRECAO_DEFENSIVA;Condicoes adversas da via e do veiculo;10;4;4;2;situacional;erro_comum;Portaria 923/2025 > Direcao defensiva;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Buracos pista escorregadia e falhas do carro;;;;;
DIRECAO_DEFENSIVA;Ultrapassagem segura e retomada de faixa;8;3;4;1;situacional;erro_comum;Portaria 923/2025 > Direcao defensiva;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Ligar com risco e visibilidade;;;;;
DIRECAO_DEFENSIVA;Alcool drogas fadiga sono e distracao;12;3;6;3;direta;situacional;Portaria 923/2025 > Estado fisico e mental do condutor;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Tema forte de prova e consciencia;;;;;
DIRECAO_DEFENSIVA;Usuarios vulneraveis: pedestre ciclista motociclista e criancas;10;4;4;2;situacional;direta;Portaria 923/2025 > Convivio social;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Usar empatia e conduta preventiva;;;;;
DIRECAO_DEFENSIVA;Prevencao de colisao e tomada de decisao segura;8;3;4;1;situacional;erro_comum;Portaria 923/2025 > Direcao defensiva;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Fechar com raciocinio integrado;;;;;
PRIMEIROS_SOCORROS;Sinalizacao do local e seguranca da cena;6;3;2;1;situacional;direta;Portaria 923/2025 > Primeiras providencias;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Priorizar ordem correta das acoes;;;;;
PRIMEIROS_SOCORROS;Acionamento de recursos de emergencia;4;2;2;0;direta;situacional;Portaria 923/2025 > Acionamento de recursos;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Bloco curto e muito objetivo;;;;;
PRIMEIROS_SOCORROS;Avaliacao inicial da vitima;5;2;2;1;situacional;direta;Portaria 923/2025 > Verificacao das condicoes gerais;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Sem tecnicismo medico desnecessario;;;;;
PRIMEIROS_SOCORROS;Cuidados basicos ate a chegada do socorro;6;2;3;1;situacional;erro_comum;Portaria 923/2025 > Cuidados com a vitima;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Foco em conduta segura;;;;;
PRIMEIROS_SOCORROS;O que nao fazer com a vitima;4;1;2;1;erro_comum;direta;Portaria 923/2025 > Cuidados com a vitima;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Excelente para distratores plausiveis;;;;;
MECANICA_BASICA;Pneus calibragem e desgaste;3;1;1;1;direta;situacional;CNH do Brasil + material didatico Senatran;https://www.gov.br/transportes/pt-br/assuntos/noticias/2025/12/cnh-do-brasil-como-solicitar-a-primeira-habilitacao-pelo-aplicativo;Sempre com foco preventivo;;;;;
MECANICA_BASICA;Freios suspensao e direcao;3;1;1;1;direta;erro_comum;CNH do Brasil + material didatico Senatran;https://www.gov.br/transportes/pt-br/assuntos/noticias/2025/12/cnh-do-brasil-como-solicitar-a-primeira-habilitacao-pelo-aplicativo;Nao aprofundar mecanica profissional;;;;;
MECANICA_BASICA;Sistema de iluminacao e sinalizacao do veiculo;3;1;1;1;direta;situacional;CNH do Brasil + material didatico Senatran;https://www.gov.br/transportes/pt-br/assuntos/noticias/2025/12/cnh-do-brasil-como-solicitar-a-primeira-habilitacao-pelo-aplicativo;Importante para seguranca e prova;;;;;
MECANICA_BASICA;Manutencao preventiva e verificacoes de rotina;3;1;2;0;direta;situacional;CNH do Brasil + material didatico Senatran;https://www.gov.br/transportes/pt-br/assuntos/noticias/2025/12/cnh-do-brasil-como-solicitar-a-primeira-habilitacao-pelo-aplicativo;Bloco simples e util;;;;;
MECANICA_BASICA;Equipamentos obrigatorios e pane simples;3;1;1;1;direta;erro_comum;CTB + material didatico Senatran;https://www.gov.br/transportes/pt-br/assuntos/noticias/2025/12/cnh-do-brasil-como-solicitar-a-primeira-habilitacao-pelo-aplicativo;Nao exagerar em detalhe tecnico;;;;;
MEIO_AMBIENTE_CIDADANIA;Poluicao emissao de gases fumaca e ruido;8;3;3;2;direta;situacional;Portaria 923/2025 > Meio ambiente;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Usar relacao entre veiculo e impacto ambiental;;;;;
MEIO_AMBIENTE_CIDADANIA;Manutencao preventiva para preservacao ambiental;5;2;2;1;direta;erro_comum;Portaria 923/2025 > Meio ambiente;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Ponte entre mecanica e meio ambiente;;;;;
MEIO_AMBIENTE_CIDADANIA;Convivio social respeito e comportamento no transito;7;2;4;1;situacional;direta;Portaria 923/2025 > Convivio social;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Questoes de postura e respeito;;;;;
MEIO_AMBIENTE_CIDADANIA;Cidadania responsabilidade civil e criminal do condutor;5;1;2;2;direta;situacional;Portaria 923/2025 > Convivio social;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Boa area para questoes mais dificeis;;;;;
MEIO_AMBIENTE_CIDADANIA;Comportamento solidario e etica no transito;5;2;1;2;situacional;erro_comum;Portaria 923/2025 > Convivio social;https://www.gov.br/transportes/pt-br/assuntos/transito/arquivos-senatran/portarias/2025/Portaria9232025.pdf;Fechar com maturidade de conduta;;;;;
